customer_id,age,gender,country,city_tier,tenure_months,recency_days,frequency,monetary_eur,avg_order_value,app_sessions_30d,pages_per_session,wishlist_items,email_open_rate,category_diversity,preferred_category,channel,return_rate,discount_usage_ratio,complained,churn
ZC000036,43.0,Female,USA,Tier 2,4,98,1,63.3,63.3,1,11.4,6,0.288,1,Women,Store,0.343,0.245,0,1
ZC000037,31.0,Male,Mexico,Tier 1,19,6,3,221.27,73.76,1,3.5,0,0.266,2,Home,Online,0.066,0.085,0,0
ZC000038,24.0,Male,Italy,Tier 3,45,263,2,220.87,110.44,0,6.0,4,0.648,7,Men,Mixed,0.424,0.251,0,1
ZC000039,24.0,Female,Spain,Tier 1,32,43,1,60.0,60.0,5,2.9,3,0.279,3,Kids,Store,0.372,0.713,0,0
ZC000040,39.0,Female,USA,Tier 1,25,29,3,262.99,87.66,3,4.8,1,0.466,5,Women,Mixed,0.303,0.572,0,0
ZC000041,39.0,Female,Mexico,Tier 1,22,15,1,85.49,85.49,2,6.3,2,0.169,2,Women,Online,0.238,0.424,0,0
ZC000042,37.0,Female,Spain,Tier 1,43,34,4,323.19,80.8,4,1.0,4,0.173,8,Women,Store,0.48,0.319,0,0
ZC000043,25.0,Male,USA,Tier 2,29,8,3,328.62,109.54,1,6.3,5,0.318,3,Women,Mixed,0.616,0.594,0,0
ZC000044,34.0,Female,USA,Tier 1,56,148,2,152.82,76.41,2,15.0,4,0.338,1,Women,Store,0.593,0.203,0,1
ZC000045,33.0,Female,Spain,Tier 1,17,49,5,393.56,78.71,7,1.8,7,,5,Men,Mixed,0.419,0.219,0,0
ZC000046,34.0,Male,Other,Tier 1,2,28,1,85.7,85.7,5,3.3,4,0.374,8,TRF,Online,0.294,0.376,0,0
ZC000047,41.0,Male,Spain,Tier 2,40,125,7,372.58,53.23,2,14.6,3,0.276,2,Women,Online,0.305,0.119,0,0
ZC000048,34.0,Male,France,Tier 1,16,46,2,156.76,78.38,9,1.0,2,0.505,6,Women,Store,0.219,0.311,0,0
ZC000049,39.0,Female,Italy,Tier 3,20,27,2,92.88,46.44,4,4.0,2,0.866,3,TRF,Mixed,0.545,0.1,0,0
ZC000050,33.0,Male,Spain,Tier 1,23,206,1,95.2,95.2,3,1.0,4,0.42,7,Women,Online,0.505,0.215,0,1
ZC000051,35.0,Female,Germany,Tier 1,13,36,2,166.2,83.1,11,1.0,5,0.518,3,Home,Store,0.05,0.387,0,0
ZC000052,38.0,Female,USA,Tier 1,7,3,1,96.63,96.63,2,1.0,3,,5,Women,Online,0.288,0.375,0,0
ZC000053,17.0,Male,Other,Tier 1,38,56,3,148.19,49.4,8,3.0,3,0.218,3,Women,Online,0.232,0.24,0,0
ZC000054,29.0,Male,Mexico,Tier 1,1,50,1,81.22,81.22,8,3.4,3,0.564,8,Women,Online,0.089,0.138,0,0
ZC000055,27.0,Female,Mexico,Tier 1,60,28,7,497.05,71.01,8,3.7,3,0.403,6,Home,Online,0.189,0.043,0,0
ZC000056,26.0,Female,UK,Tier 1,21,24,4,419.04,104.76,7,2.7,3,0.559,8,Kids,Online,0.343,0.241,0,0
ZC000057,29.0,Female,Other,Tier 1,2,61,1,75.86,75.86,2,9.0,5,0.299,6,Kids,Mixed,0.367,0.601,0,0
ZC000058,47.0,Male,Germany,Tier 1,42,37,2,125.29,62.64,10,6.5,4,0.307,7,Women,Store,0.396,0.474,0,0
ZC000059,23.0,Male,UK,Tier 2,4,43,1,85.75,85.75,5,2.3,1,0.578,3,Women,Mixed,0.338,0.482,0,0
ZC000060,42.0,Female,Spain,Tier 1,13,73,2,247.32,123.66,0,2.1,3,0.566,6,Men,Online,0.423,0.189,0,0
ZC000061,16.0,Female,Spain,Tier 3,60,40,5,537.01,107.4,6,1.0,2,0.609,1,Women,Mixed,0.206,0.123,0,0
ZC000062,29.0,Female,USA,Tier 1,28,30,2,183.91,91.96,5,6.8,3,0.373,7,Women,Store,0.253,0.606,0,0
ZC000063,34.0,Male,USA,Tier 1,25,100,3,241.69,80.56,3,2.5,3,0.444,6,Men,Online,0.472,0.07,1,1
ZC000064,38.0,Female,Other,Tier 1,27,37,6,459.99,76.67,7,5.5,4,0.681,5,Men,Store,0.514,0.257,0,0
ZC000065,39.0,Female,Other,Tier 2,10,28,1,124.87,124.87,3,1.0,2,0.394,8,Home,Mixed,0.242,0.234,0,0
ZC000066,40.0,Male,Spain,Tier 1,28,11,4,272.29,68.07,11,3.9,2,0.178,2,Men,Store,0.287,0.524,0,0
ZC000067,29.0,Female,Other,Tier 3,26,21,6,423.24,70.54,8,3.6,3,0.318,3,Men,Store,0.166,0.301,0,0
ZC000068,27.0,Female,Italy,Tier 2,18,14,4,151.89,37.97,7,4.6,2,0.227,5,Women,Online,0.377,0.335,0,0
ZC000069,41.0,Female,France,Tier 2,49,10,5,238.73,47.75,5,1.0,6,0.456,1,Women,Online,0.419,0.23,0,0
ZC000070,30.0,Female,Other,Tier 1,34,24,4,440.93,110.23,5,2.3,4,0.28,1,Men,Online,0.27,0.036,0,0
ZC000071,19.0,Male,Italy,Tier 1,8,75,2,69.72,34.86,2,4.2,1,0.135,2,Kids,Mixed,0.153,0.157,0,0
ZC000072,21.0,Female,Germany,Tier 1,15,54,5,507.15,101.43,10,9.1,2,0.506,5,Home,Store,0.32,0.1,0,0
ZC000073,23.0,Female,USA,Tier 3,13,40,1,71.62,71.62,6,3.2,4,0.154,3,Kids,Online,0.319,0.363,0,0
ZC000074,37.0,Female,USA,Tier 2,10,83,1,98.56,98.56,3,1.3,2,0.408,2,Women,Store,0.372,0.491,0,0
ZC000075,33.0,Male,Other,Tier 1,45,31,2,232.65,116.32,7,4.4,4,0.404,2,Women,Online,0.326,0.4,0,0
ZC000076,39.0,Female,USA,Tier 1,15,70,6,441.4,73.57,1,2.8,1,0.333,7,TRF,Mixed,0.052,0.187,0,0
ZC000077,28.0,Female,Spain,Tier 1,35,96,6,621.78,103.63,0,8.4,1,0.416,7,Women,Online,0.322,0.728,0,1
ZC000078,34.0,Female,USA,Tier 2,29,3,1,58.6,58.6,7,2.2,3,0.395,7,Women,Mixed,0.355,0.323,0,0
ZC000079,38.0,Female,France,Tier 1,7,54,1,66.71,66.71,3,10.2,4,0.421,5,Women,Online,0.457,0.078,0,0
ZC000080,29.0,Male,UK,Tier 2,45,79,3,292.55,97.52,1,4.9,5,0.195,7,Men,Mixed,0.364,0.296,0,0
ZC000081,37.0,Male,Other,Tier 1,19,75,2,172.13,86.06,4,1.7,4,0.452,5,Women,Store,0.42,0.251,0,0
ZC000082,25.0,Male,UK,Tier 3,15,56,2,162.54,81.27,3,1.5,3,0.147,1,TRF,Store,0.434,0.116,0,0
ZC000083,28.0,Female,Other,Tier 1,6,33,1,122.87,122.87,4,9.2,1,0.653,4,Men,Mixed,0.393,0.265,0,0
ZC000084,28.0,Female,Germany,Tier 1,10,45,1,67.06,67.06,11,3.2,3,0.291,7,Women,Store,0.174,0.367,0,0
ZC000085,20.0,Male,France,Tier 3,8,155,3,329.54,109.85,0,12.1,4,0.369,4,Women,Online,0.232,0.322,0,1
ZC000086,37.0,Female,USA,Tier 2,4,5,2,175.72,87.86,8,2.6,3,0.749,3,Men,Store,0.405,0.126,0,0
ZC000087,27.0,Male,USA,Tier 1,27,26,1,99.64,99.64,7,5.3,1,0.453,8,TRF,Mixed,0.164,0.219,0,0
ZC000088,32.0,Female,Other,Tier 3,9,54,3,273.36,91.12,8,4.1,1,0.369,5,Women,Mixed,0.41,0.374,0,0
ZC000089,37.0,Female,Mexico,Tier 1,22,11,4,261.26,65.32,7,4.9,3,0.644,5,Home,Online,0.436,0.1,0,0
ZC000090,36.0,Female,UK,Tier 1,42,42,8,638.82,79.85,4,2.5,5,0.667,3,Women,Online,0.519,0.302,0,0
ZC000091,39.0,Female,Other,Tier 1,32,101,2,99.25,49.62,2,8.2,7,0.133,6,Men,Online,0.381,0.514,0,1
ZC000092,31.0,Female,Mexico,Tier 1,24,88,1,75.48,75.48,1,10.3,4,0.614,8,Women,Online,0.202,0.064,0,0
ZC000093,28.0,Female,Spain,Tier 2,3,53,1,79.53,79.53,6,6.1,3,0.409,7,Women,Online,0.464,0.24,0,0
ZC000094,31.0,Female,Germany,Tier 1,4,63,2,167.47,83.74,0,10.4,4,,8,Women,Store,0.359,0.417,0,0
ZC000095,,Female,Mexico,Tier 1,12,1,1,82.42,82.42,13,2.8,4,0.108,7,TRF,Mixed,0.311,0.222,0,0
ZC000096,18.0,Male,Mexico,Tier 2,25,15,2,267.95,133.98,7,1.0,4,0.298,1,Home,Mixed,0.366,0.735,0,0
ZC000097,19.0,Female,Spain,Tier 1,9,29,1,35.62,35.62,3,2.4,4,0.251,6,Women,Online,0.378,0.519,0,0
ZC000098,22.0,Male,USA,Tier 1,8,38,3,154.04,51.35,6,3.2,4,0.809,5,Women,Store,0.436,0.359,0,0
ZC000099,36.0,Female,UK,Tier 1,41,105,2,118.62,59.31,1,5.8,5,0.497,6,Women,Online,0.235,0.214,0,1
ZC000100,23.0,Female,USA,Tier 2,16,214,1,73.24,73.24,1,5.6,7,0.461,6,Men,Mixed,0.537,0.472,0,1
ZC000101,28.0,Female,Spain,Tier 1,5,44,1,55.85,55.85,6,8.2,3,0.325,8,Men,Store,0.382,0.61,1,0
ZC000102,45.0,Male,Germany,Tier 3,26,42,1,45.55,45.55,9,5.5,5,0.072,3,Women,Mixed,0.274,0.105,0,0
ZC000103,28.0,Female,France,Tier 3,6,53,1,66.6,66.6,7,1.6,3,0.584,7,Women,Mixed,0.154,0.07,0,0
ZC000104,39.0,Male,USA,Tier 2,25,23,6,259.53,43.26,5,1.5,4,0.313,3,Women,Store,0.216,0.655,1,0
ZC000105,23.0,Female,Germany,Tier 2,14,171,2,147.5,73.75,0,2.3,2,0.587,3,Women,Store,0.483,0.454,0,1
ZC000106,30.0,Male,Spain,Tier 2,20,20,4,343.49,85.87,7,5.6,2,0.695,6,Kids,Online,0.285,0.259,0,0
ZC000107,22.0,Male,UK,Tier 3,8,21,2,104.54,52.27,5,9.9,5,0.651,4,Men,Mixed,0.488,0.261,0,0
ZC000108,29.0,Male,Mexico,Tier 2,14,31,1,110.49,110.49,7,3.2,1,0.193,7,Kids,Online,0.111,0.186,0,0
ZC000109,40.0,Female,Other,Tier 1,12,191,1,48.0,48.0,1,2.8,3,0.354,5,Men,Online,0.16,0.165,0,0
ZC000110,16.0,Male,USA,Tier 1,9,79,1,63.39,63.39,1,1.4,3,0.453,4,Women,Store,0.28,0.086,0,1
ZC000111,36.0,Female,Other,Tier 2,14,52,1,74.54,74.54,8,3.3,3,0.171,5,Beauty,Store,0.248,0.377,0,0
ZC000112,34.0,Male,Other,Tier 1,3,40,1,85.0,85.0,0,15.3,6,0.094,6,TRF,Store,0.43,0.305,0,0
ZC000113,26.0,Female,Germany,Tier 2,31,49,1,37.15,37.15,6,13.9,5,0.443,7,Men,Mixed,0.335,0.262,0,0
ZC000114,18.0,Female,Other,Tier 3,30,16,4,396.33,99.08,2,2.9,7,0.431,4,Women,Online,0.5,0.291,0,0
ZC000115,33.0,Female,USA,Tier 1,15,3,1,70.98,70.98,6,15.2,0,,4,Men,Mixed,0.33,0.192,0,1
ZC000116,27.0,Male,Spain,Tier 1,15,113,4,424.93,106.23,2,12.1,4,0.32,5,Men,Store,0.237,0.26,0,0
ZC000117,34.0,Female,Other,Tier 1,14,12,3,278.32,92.77,5,5.7,4,0.398,5,Women,Mixed,0.468,0.261,0,0
ZC000118,32.0,Female,France,Tier 1,31,165,4,455.88,113.97,0,9.0,1,0.714,1,Women,Store,0.268,0.044,0,1
ZC000119,48.0,Female,USA,Tier 2,12,81,1,59.39,59.39,1,1.4,3,0.287,2,Women,Store,0.349,0.101,0,0
ZC000120,30.0,Male,Spain,Tier 1,36,44,4,159.17,39.79,7,4.6,5,0.381,6,Kids,Store,0.128,0.218,0,0
ZC000121,22.0,Female,Spain,Tier 1,6,75,1,117.52,117.52,4,1.4,6,0.646,6,Women,Online,0.56,0.193,1,0
ZC000122,34.0,Male,Spain,Tier 1,36,59,1,74.54,74.54,11,2.7,3,0.375,3,Women,Online,0.146,0.164,0,0
ZC000123,34.0,Female,USA,Tier 1,2,50,1,135.45,135.45,1,7.7,4,0.373,7,Women,Online,0.097,0.36,0,0
ZC000124,46.0,Female,Other,Tier 1,13,54,1,102.04,102.04,3,3.6,5,0.297,8,Women,Online,0.251,0.407,0,0
ZC000125,40.0,Male,USA,Tier 1,31,114,3,280.7,93.57,2,2.9,4,0.359,6,Men,Online,0.491,0.096,0,1
ZC000126,36.0,Male,Mexico,Tier 2,35,76,1,90.73,90.73,2,5.9,5,0.615,6,Women,Store,0.403,0.111,0,0
ZC000127,47.0,Male,Spain,Tier 1,6,46,2,114.67,57.34,3,4.7,4,0.399,1,Kids,Store,0.444,0.24,0,1
ZC000128,20.0,Female,USA,Tier 1,26,98,3,146.86,48.95,2,9.8,2,0.401,6,Kids,Mixed,0.506,0.529,0,1
ZC000129,26.0,Female,Other,Tier 1,24,181,2,61.48,30.74,1,6.4,7,0.38,7,Kids,Store,0.192,0.626,0,0
ZC000130,23.0,Male,USA,Tier 2,27,46,1,70.55,70.55,4,1.3,3,0.331,8,Women,Store,0.496,0.178,0,0
ZC000131,28.0,Female,USA,Tier 2,60,26,3,254.4,84.8,5,2.1,6,0.324,6,Beauty,Mixed,0.253,0.227,0,0
ZC000132,18.0,Female,Other,Tier 1,60,104,3,225.48,75.16,1,2.2,6,0.53,2,Beauty,Online,0.168,0.354,0,0
ZC000133,38.0,Male,Spain,Tier 2,42,46,2,158.59,79.3,9,2.7,7,0.486,3,Women,Mixed,0.129,0.144,0,0
ZC000134,30.0,Female,Spain,Tier 2,9,132,1,30.66,30.66,0,1.6,1,0.24,3,Kids,Online,0.142,0.395,0,1
ZC000135,17.0,Female,Other,Tier 3,13,16,1,74.15,74.15,8,5.2,2,0.351,3,Men,Store,0.443,0.512,0,0
ZC000136,22.0,Male,UK,Tier 2,21,34,5,547.1,109.42,7,2.4,4,0.717,8,Beauty,Online,0.462,0.198,0,0
ZC000137,35.0,Female,Germany,Tier 2,13,227,5,296.39,59.28,1,3.5,3,0.555,5,Men,Mixed,0.11,0.267,0,1
ZC000138,40.0,Female,Spain,Tier 1,9,32,4,199.25,49.81,6,2.6,4,0.26,3,Men,Store,0.198,0.212,0,0
ZC000139,52.0,Female,USA,Tier 1,35,136,2,75.38,37.69,1,7.0,3,0.221,3,Women,Online,0.218,0.193,0,0
ZC000140,61.0,Female,UK,Tier 3,6,25,1,59.3,59.3,9,2.0,3,0.192,1,Kids,Store,0.244,0.572,0,0
ZC000141,36.0,Male,Italy,Tier 1,2,98,1,71.18,71.18,1,15.6,3,0.662,4,TRF,Online,0.389,0.359,0,1
ZC000142,22.0,Male,USA,Tier 1,30,20,2,150.35,75.18,5,9.1,6,0.398,6,TRF,Mixed,0.328,0.151,0,0
ZC000143,16.0,Female,Other,Tier 2,29,107,2,186.56,93.28,3,2.1,2,0.549,6,Home,Online,0.199,0.237,0,0
ZC000144,35.0,Female,Mexico,Tier 3,5,41,1,56.57,56.57,4,9.8,0,0.318,4,Men,Mixed,0.319,0.865,0,0
ZC000145,24.0,Female,France,Tier 1,4,33,2,119.4,59.7,8,3.1,2,0.54,5,Men,Store,0.358,0.359,0,0
ZC000146,28.0,Female,UK,Tier 3,17,42,1,39.48,39.48,5,6.3,6,0.222,6,Women,Online,0.324,0.197,0,0
ZC000147,26.0,Male,Germany,Tier 1,22,54,4,371.53,92.88,10,3.7,3,0.364,2,Men,Store,0.575,0.363,0,0
ZC000148,31.0,Female,Italy,Tier 3,14,64,3,224.66,74.89,1,5.4,2,0.277,3,Men,Mixed,0.42,0.061,0,1
ZC000149,43.0,Female,Spain,Tier 3,12,14,1,72.0,72.0,8,12.1,7,0.764,2,Women,Mixed,0.162,0.195,0,0
ZC000150,34.0,Male,Other,Tier 2,17,70,3,272.87,90.96,2,10.6,0,0.53,1,Men,Store,0.258,0.553,0,0
ZC000151,30.0,Male,France,Tier 3,28,10,2,168.37,84.18,8,6.8,4,0.475,1,Women,Mixed,0.297,0.699,0,0
ZC000152,22.0,Female,Other,Tier 3,5,120,1,110.27,110.27,0,2.9,7,0.307,6,Home,Store,0.511,0.245,0,1
ZC000153,16.0,Female,Other,Tier 3,19,75,1,92.93,92.93,1,3.0,5,0.731,7,Women,Store,0.47,0.301,0,0
ZC000154,27.0,Female,Spain,Tier 1,9,75,1,76.72,76.72,0,2.3,0,0.365,4,Women,Online,0.472,0.368,0,0
ZC000155,31.0,Female,UK,Tier 1,60,106,2,103.85,51.92,3,1.0,5,0.784,7,Kids,Online,0.266,0.228,0,0
ZC000156,50.0,Female,France,Tier 1,20,77,7,584.08,83.44,2,6.1,3,0.733,8,Men,Store,0.232,0.358,0,0
ZC000157,33.0,Male,France,Tier 1,47,187,5,466.56,93.31,3,6.3,4,0.489,3,Women,Store,0.718,0.296,0,0
ZC000158,42.0,Male,Other,Tier 2,27,20,2,99.78,49.89,5,3.1,6,0.285,2,Beauty,Online,0.358,0.667,0,0
ZC000159,27.0,Female,Spain,Tier 1,59,13,8,505.15,63.14,7,5.0,5,0.521,2,Home,Mixed,0.125,0.104,1,0
ZC000160,20.0,Female,Germany,Tier 3,17,192,1,67.3,67.3,1,3.9,4,0.372,6,Women,Online,0.094,0.16,0,0
ZC000161,22.0,Female,Other,Tier 1,19,78,1,73.4,73.4,0,1.1,3,0.341,8,Women,Mixed,0.204,0.513,0,0
ZC000162,25.0,Female,Other,Tier 1,15,85,1,80.16,80.16,2,2.7,1,0.405,2,Men,Mixed,0.242,0.14,0,0
ZC000163,53.0,Female,Spain,Tier 1,10,18,1,81.09,81.09,5,2.2,4,0.275,2,Home,Online,0.319,0.148,0,0
ZC000164,24.0,Female,Other,Tier 1,5,81,1,91.98,91.98,1,1.7,1,0.397,7,Women,Mixed,0.398,0.591,0,0
ZC000165,40.0,Male,Spain,Tier 1,22,49,1,49.49,49.49,8,3.1,5,0.24,2,Women,Online,0.24,0.32,0,0
ZC000166,23.0,Male,France,Tier 2,34,97,1,103.66,103.66,3,4.9,1,0.57,2,Kids,Online,0.437,0.462,0,1
ZC000167,41.0,Male,USA,Tier 1,16,57,1,94.35,94.35,4,1.0,7,0.309,2,Men,Mixed,0.277,0.284,0,0
ZC000168,,Female,Germany,Tier 2,12,49,1,78.3,78.3,11,2.9,2,0.485,6,Men,Store,0.137,0.349,0,0
ZC000169,30.0,Female,Spain,Tier 1,46,58,3,155.53,51.84,5,3.2,5,0.492,6,Women,Store,0.171,0.314,1,0
ZC000170,32.0,Female,USA,Tier 2,7,29,1,105.98,105.98,10,7.2,5,0.31,8,Women,Mixed,0.489,0.261,0,0
ZC000171,25.0,Female,USA,Tier 2,18,36,1,108.84,108.84,5,2.2,2,0.117,6,Women,Store,0.284,0.464,0,1
ZC000172,36.0,Female,Other,Tier 1,30,141,2,149.47,74.74,0,2.3,3,0.571,3,Kids,Mixed,0.33,0.315,0,0
ZC000173,27.0,Male,Germany,Tier 1,9,83,1,57.68,57.68,1,6.2,3,,8,Beauty,Store,0.146,0.208,0,0
ZC000174,20.0,Male,Italy,Tier 2,18,46,1,54.56,54.56,7,5.8,2,,6,Men,Store,0.617,0.348,0,0
ZC000175,19.0,Female,Italy,Tier 2,35,82,3,272.56,90.85,0,1.1,7,0.404,8,Women,Online,0.182,0.612,0,0
ZC000176,34.0,Female,UK,Tier 1,9,72,1,46.7,46.7,3,4.4,6,0.373,7,Men,Mixed,0.567,0.308,0,1
ZC000177,48.0,Female,Spain,Tier 2,28,37,1,48.01,48.01,4,12.6,6,0.389,5,Women,Online,0.21,0.209,1,0
ZC000178,34.0,Female,Spain,Tier 1,4,29,2,179.44,89.72,3,5.2,5,0.363,6,Women,Mixed,0.343,0.336,0,0
ZC000179,31.0,Female,UK,Tier 1,16,36,2,246.15,123.08,3,4.3,1,0.588,6,Home,Online,0.13,0.41,0,0
ZC000180,35.0,Female,Other,Tier 1,39,124,8,852.88,106.61,0,4.4,6,0.671,4,Women,Online,0.246,0.176,0,1
ZC000181,45.0,Female,USA,Tier 2,28,45,6,473.96,78.99,6,10.5,2,0.498,2,Women,Online,0.221,0.474,0,0
ZC000182,34.0,Male,Italy,Tier 1,41,138,2,67.06,33.53,2,4.6,4,0.58,6,Women,Mixed,0.189,0.268,0,0
ZC000183,28.0,Female,Other,Tier 1,1,33,1,23.5,23.5,5,7.8,3,0.37,7,Women,Mixed,0.321,0.173,0,0
ZC000184,43.0,Female,Other,Tier 1,16,26,1,64.75,64.75,7,10.1,5,0.346,3,TRF,Store,0.313,0.249,0,0
ZC000185,36.0,Female,USA,Tier 1,9,48,3,348.0,116.0,4,1.8,2,0.32,7,Men,Mixed,0.474,0.321,0,1
ZC000186,47.0,Male,Other,Tier 1,17,68,1,63.8,63.8,2,1.2,4,0.625,7,Women,Store,0.291,0.095,0,0
ZC000187,34.0,Female,Germany,Tier 1,36,58,6,570.62,95.1,8,8.6,5,0.533,5,Men,Online,0.549,0.373,0,0
ZC000188,20.0,Female,France,Tier 2,50,76,5,406.92,81.38,0,8.3,2,0.446,2,Kids,Mixed,0.337,0.169,0,0
ZC000189,18.0,Female,Mexico,Tier 2,60,78,3,178.16,59.39,2,1.1,3,0.294,1,Women,Online,0.179,0.708,0,0
ZC000190,49.0,Female,USA,Tier 1,12,93,1,70.12,70.12,1,4.9,2,0.548,3,Kids,Online,0.158,0.398,0,0
ZC000191,49.0,Female,Mexico,Tier 1,3,19,2,75.92,37.96,4,1.6,3,0.248,4,Home,Store,0.538,0.246,0,0
ZC000192,30.0,Female,Germany,Tier 1,2,30,2,181.67,90.84,7,7.2,5,0.859,6,Women,Store,0.249,0.186,0,0
ZC000193,28.0,Female,Mexico,Tier 3,6,61,3,162.52,54.17,3,1.4,5,0.525,4,Women,Online,0.483,0.136,0,0
ZC000194,47.0,Male,Other,Tier 1,34,37,1,92.66,92.66,10,1.2,2,0.216,5,Women,Mixed,0.186,0.041,0,0
ZC000195,21.0,Female,Germany,Tier 2,25,48,2,157.46,78.73,6,1.0,1,0.722,6,Women,Store,0.18,0.308,0,0
ZC000196,23.0,Female,Spain,Tier 1,26,54,5,306.88,61.38,5,3.7,3,0.53,8,Kids,Mixed,0.528,0.458,0,0
ZC000197,38.0,Female,USA,Tier 2,17,43,1,27.71,27.71,5,1.9,2,0.355,8,Women,Mixed,0.236,0.198,0,1
ZC000198,28.0,Female,Other,Tier 2,12,37,2,192.45,96.22,7,3.9,3,0.327,2,Men,Store,0.07,0.294,0,0
ZC000199,32.0,Female,Germany,Tier 2,46,23,3,228.26,76.09,6,6.6,1,0.167,7,Women,Store,0.668,0.252,0,1
